sd	td
0.011758635	0.1
0.014108821	0.12
0.016928372	0.144
0.020310866	0.1728
0.024368471	0.20736
0.029235607	0.248832
0.035073314	0.2985984
0.042074465	0.35831808
0.050469971	0.429981696
0.060536157	0.515978035
0.072603513	0.619173642
0.087067049	0.743008371
0.104398563	0.891610045
0.125160916	1.069932054
0.150025138	1.283918465
0.179789724	1.540702157
0.215403773	1.848842589
0.2579929	2.218611107
0.308889117	2.662333328
0.36966424	3.194799994
0.442166804	3.833759992
0.528561878	4.600511991
0.631372652	5.520614389
0.753521761	6.624737267
0.898369199	7.94968472
1.069741949	9.539621664
1.271948338	11.447546
1.509767319	13.7370552
1.788399495	16.48446624
2.113362861	19.78135948
2.490312317	23.73763138
2.924758805	28.48515766
3.421662795	34.18218919
3.984879971	41.01862702
4.616447519	49.22235243
5.315721782	59.06682292
6.078417546	70.8801875
6.895660674	85.056225
7.753249323	102.06747
8.631411161	122.480964
9.505405851	146.9771568
10.34728376	176.3725882
11.12889323	211.6471058
11.82580283	253.9765269
12.42128053	304.7718323
12.90912159	365.7261988
13.29425029	438.8714386
13.59073852	526.6457263
13.81789592	631.9748715
13.99583183	758.3698458
14.14193415	910.043815
14.26908131	1092.052578
14.38554753	1310.463094
14.49597251	1572.555712
14.60265103	1887.066855
14.70662865	2264.480226
14.80841165	2717.376271
14.90832754	3260.851525
15.00666047	3913.02183
15.1036781	4695.626196
15.1996234	5634.751435
15.29470428	6761.701722
15.38909056	8114.042067
15.48291699	9736.85048
15.57628924	11684.22058
15.66929028	14021.06469
15.76198579	16825.27763
15.85442842	20190.33316
15.94666088	24228.39979
16.03871818	29074.07974
16.13062923	34888.89569
16.22241802	41866.67483
16.31410454	50240.0098
16.40570551	60288.01176
16.49723485	72345.61411
